User, Verification, Date, Rating, Comment
Debby, Unverified Purchase, 8/6/2022, 5 out of 5 stars review, It's a little larger than I thought it would be, but it's a good size. My little 5 lb Lulu likes it and my 30 lb Bella has no trouble at all relaxing in it. I haven't had it long enough to comment on how it is to clean. It is sufficiently plush on the bottom to give them a comfy place to sleep if it's placed on the floor. I put it on my couch as I figured they would more likely check it out quicker there, but I may move it to the floor, just haven't decided where yet. I recommend this bed, I don't think you'll be sorry if you get it for your fur-baby.
Darla253, Unverified Purchase, 8/4/2022, 5 out of 5 stars review, I've purchased many dog and cat beds for the house full of furbabies, however, this is the first one they've all loved. At first I wasn't impressed because the shape didn't appear right. After a few minutes in the dryer on low it looked fluffy and great. Highly recommend!
TJMc, Unverified Purchase, 10/23/2022, 5 out of 5 stars review, Nice couch like bed for fluffy or fido! Will hold a small to medium dog, and our black lab has actually squeezed her big behind into it a couple of times. We constructed bed, very fluffy, has arms and a back like a couch. Has a bean bag base to it so it wont go sliding all over the place. Zippered botrtom as well for easy removal for laundering. Soft velvety feel to it. Dogs loved it right away. Recommended for all pets.
nacevedo88, Unverified Purchase, 8/11/2022, 2 out of 5 stars review, When this bed showed up I liked the size and I thought the print was cute. I have a 15 pound terrier mix as well as a 45 pound amstaff mix and each of them fit well on the bed. It felt a bit bare inside to me, but I waited until my pups could really try it out before I developed my opinion. The second I put it on the floor my dogs were all over it. They love pillows and beds and being comfortable. They continued to use it over the next few days, but as the days passed, the inside began to scrunch up in random places as well as flatten out even more than it already was. My pups gradually stopped using it, and I feel the only reason they used it to begin with was because it had a little more cushion than the carpet. Disappointed with this one...
Drimeth, Unverified Purchase, 8/8/2022, 5 out of 5 stars review, My cat is a HUGE fan of this pet bed! It's very soft with a nice outside design, exactly as shown on the website. She's only about 8lbs, but even so the bed holds up nicely and doesn't dip down when she uses it (which is constantly!). I think it'll be great for the colder months too because of how soft it is!
WhyThough, Verified Purchase, 3/6/2023, 1 out of 5 stars review, Be aware that there is conflicting information all over the place regarding the bed. The picture shows that it is 21" by 17" and appropriate for dogs up to 25 pounds including Jack Russell terriers, and I bought it based on that. In reality it only 19” by 15” (according to the tag on it) and appropriate for very small dogs (supposedly under 15 pounds according to the tag). My 11-pound cat fills it up. It will fit inside a cat carrier. It is much too small for my 17 pound terrier. I see that the descriptive material (NOT in the pictures) is halfway correct. I should have looked more closely. I thought this was the same (larger) bed I bought at Walmart for $5. Nope. It costs more and is smaller and more cheaply made. Bummer.
AprilT, Unverified Purchase, 8/6/2022, 5 out of 5 stars review, Received my Small Lounger Pet Bed and our cat loves it. She roams all day and night so haven't gotten a picture of her in it since I go to bed early. It's super soft and machine washable. Super fluff bed and she went straight to it and sniffed it and finally laid down. We have 3 cats so each one will use this bed if not all of them at once. It's like a fleece wrapped bed. I recommend it for all your fur babies for maximum comfort. I love the sides and the back pillow. My pets love it. Super neat bed.
Cecil, Unverified Purchase, 8/16/2022, 5 out of 5 stars review, Our small dog and two cats went to lay on their new bed and the dog won the prize! This bed is so nice, I'd sleep on it if it were big enough. The small size is perfect for our 12 pound pooch. She seems very comfortable even with the summer weather. The low sides provide enough height to ward off drafts, but allow for cooling air across the pet. The button-tufted build keeps the soft back, front and bottom pillow in form. The sides, without tufted buttons, are generously filled to form the perfect places for her to rest her head. The fabrics will wash well and the light weight will not overload our washing machine. This bed is a good choice for each of the furry kids.
Besttapeever, Unverified Purchase, 8/4/2022, 4 out of 5 stars review, It is a pretty good bed it is a light weight bed. I thought it would be a bit bigger than what it is. I guess the measurements are to the outside and it seems a bit smaller. My dog fit in it ok once he laid down. As you can see in the picture it is not a very big bed maybe better for cats or smaller dogs. My dog is not a big dog probably average size smaller dog. It is pretty well made and soft. I like the fact it doesn't weigh a lot because I plan to use it when I travel and it will fit nice in my vehicle and give him a nice place to lay down on. Over all he liked it and was happy laying in it. So do recommend it. Just make sure you check the size for what size pet you have.
imrachie, Unverified Purchase, 8/5/2022, 5 out of 5 stars review, This, "Small Lounger Pet Bed", is a hit right away with all 5 of my cats! This *Vibrant Life Small Lounger*, has very soft material and the cushioned sleeping area along with the bolstered surrounding walls are super comfortable for my cats to rest in. Not only do my cats love this but I do as well because it's machine washable. It measures 17" x 21". Although the info included with this bed says it's for pets up to 20lbs., my cat in the picture I added is 23lbs. and he likes and fits in it absolutely fine! Awesome pet bed for cats, dogs or whatever.
